cluster,conversation_id,model_agent,energy_Wh_total,agent_turns,mean_W_mean,peak_W_max
C1_Hyperpolite,C1_Hyperpolite__debug__seed20251,deepseek-r1:8b,0.9763881683316495,11,180.41641017316016,299.37
C3_DirectLowPoliteness,C3_DirectLowPoliteness__debug__seed20251,deepseek-r1:8b,0.6398868658887016,8,202.12570143398267,299.19
C5_Impolite,C5_Impolite__debug__seed20251,deepseek-r1:8b,0.7667209915846587,11,219.06080158730157,298.85
